keyword,target,rank,url,tries,errors,proxy,searchUrl,captcha_solved,captcha_errors
"speciality hub","www.shub.coffee","1","https://www.shub.coffee/?srsltid=AfmBOoos3QfB5NQE2_T1up_9C5fVzInU8Nf7vQxaEZHOiSp-oIw87Moc","0","","isp.oxylabs.io:8005","https://www.google.com/search?q=speciality%20hub&hl=ar&num=100&gl=sa","0","0"
"سبيشلتي هب","www.shub.coffee","1","https://www.shub.coffee/?srsltid=AfmBOoqROWoowWcx8y2L9SEhCND-MdXCcvg6rTqxOZ0wFRrx30lSGkPQ","0","","isp.oxylabs.io:8002","https://www.google.com/search?q=%D8%B3%D8%A8%D9%8A%D8%B4%D9%84%D8%AA%D9%8A%20%D9%87%D8%A8&hl=ar&num=100&gl=sa","0","0"
"xbloom studio مكينة","www.shub.coffee","2","https://www.shub.coffee/collections/xbloom-machines?srsltid=AfmBOoom1uBIuaYdTcyCUSOuBQIRFti-_ITcc_dQP_GswZtvFrX0S64h","0","","isp.oxylabs.io:8006","https://www.google.com/search?q=xbloom%20studio%20%D9%85%D9%83%D9%8A%D9%86%D8%A9&hl=ar&num=100&gl=sa","0","0"
"xbloom مكينة","www.shub.coffee","1","https://www.shub.coffee/collections/xbloom-machines?srsltid=AfmBOorg9Nv8mAWj5WaNbC_belubxX3N5e-QynTar3lC4GxxWSlZI7sy","0","","isp.oxylabs.io:8004","https://www.google.com/search?q=xbloom%20%D9%85%D9%83%D9%8A%D9%86%D8%A9&hl=ar&num=100&gl=sa","0","0"
"سبيشلتي هب","www.shub.coffee","1","https://www.shub.coffee/?srsltid=AfmBOoqHa4bx0mVQt_ppSQHHoyhFTeca_dsSACEpjxMDJDHrmkVyu6B6","0","","isp.oxylabs.io:8002","https://www.google.com/search?q=%D8%B3%D8%A8%D9%8A%D8%B4%D9%84%D8%AA%D9%8A%20%D9%87%D8%A8&hl=ar&num=100&gl=sa","0","0"
"speciality hub","www.shub.coffee","1","https://www.shub.coffee/?srsltid=AfmBOordHSoo0PkkpsmX7duxSjSN5Rpy0N0V_v9yJynaUUF5tBvisPmz","0","","isp.oxylabs.io:8005","https://www.google.com/search?q=speciality%20hub&hl=ar&num=100&gl=sa","0","0"
"xbloom studio مكينة","www.shub.coffee","2","https://www.shub.coffee/collections/xbloom-machines?srsltid=AfmBOooAbPEGrgsLfpXWU-62sJb44QHCP8rVSSgDKg3vTHuvr4iOPMYC","0","","isp.oxylabs.io:8006","https://www.google.com/search?q=xbloom%20studio%20%D9%85%D9%83%D9%8A%D9%86%D8%A9&hl=ar&num=100&gl=sa","0","0"
"xbloom مكينة","www.shub.coffee","1","https://www.shub.coffee/collections/xbloom-machines?srsltid=AfmBOorVMquOTuXiAx1MlKfMLUDuiyg3fEfyJfp87qPfKmvKj0JjgVNN","0","","isp.oxylabs.io:8004","https://www.google.com/search?q=xbloom%20%D9%85%D9%83%D9%8A%D9%86%D8%A9&hl=ar&num=100&gl=sa","0","0"
